city,venue_id,event_type,start_date,artist,artist_id
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-04T20:00:00,INDOCHINE,indochine-4320
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-05T20:00:00,INDOCHINE,indochine-4320
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-07T20:00:00,INDOCHINE,indochine-4320
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-08T20:00:00,INDOCHINE,indochine-4320
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-11T20:00:00,IRISH CELTIC – LE CHEMIN DES LEGENDES,irish-celtic--le-chemin-des-legendes-12293
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-12T20:00:00,MONTREUX COMEDY - LA TOURNEE,montreux-comedy---la-tournee-234059
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-13T20:00:00,THE AUSTRALIAN PINK FLOYD SHOW,the-australian-pink-floyd-show-47537
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-14T20:00:00,LUI-MEME,lui-meme-14329
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-15T20:00:00,"ROOTSRIDERS, BOB MARLEY TRIBUTE",rootsriders-bob-marley-tribute-147957
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-20T19:30:00,ANDRE RIEU,andre-rieu-28344
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-27T20:00:00,LE LAC DES CYGNES (International Festival Ballet & Festival Orchestra),le-lac-des-cygnes-international-festival-ballet-200387
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-28T20:00:00,LA HAINE,la-haine-226465
Floirac,arkea-arena---bordeaux-53144,Concert,2025-03-29T20:30:00,LA HAINE,la-haine-226465
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-01T20:00:00,LA FOUINE,la-fouine-34055
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-02T20:00:00,DAVID HALLYDAY - REQUIEM POUR UN FOU,david-hallyday---requiem-pour-un-fou-11046
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-03T20:00:00,UNE HEURE A TUER,une-heure-a-tuer-14351
