venue_id,venue_name
le-live-cafe-a-bordeaux-27738,LE LIVE CAFE A BORDEAUX(33)
le-lucifer-a-bordeaux-8652,LE LUCIFER A BORDEAUX(33)
theatre-quintin-loucheur-a-bordeaux-36238,THEATRE QUINTIN LOUCHEUR A BORDEAUX(33)
placette-de-munich-a-bordeaux-53223,PLACETTE DE MUNICH A BORDEAUX(33)
basilique-saint-michel-a-bordeaux-41859,BASILIQUE SAINT MICHEL A BORDEAUX(33)
s-kandalo-a-bordeaux-31429,S-KANDALO A BORDEAUX(33)
lenvers-a-bordeaux-48546,L'ENVERS A BORDEAUX(33)
halle-des-chartrons-a-bordeaux-14610,HALLE DES CHARTRONS A BORDEAUX(33)
central-do-brasil-a-bordeaux-37295,CENTRAL DO BRASIL A BORDEAUX(33)
allez-les-filles-a-bordeaux-56003,ALLEZ LES FILLES A BORDEAUX(33)
le-point-du-jour-a-bordeaux-24649,LE POINT DU JOUR A BORDEAUX(33)
place-du-parlement-a-bordeaux-43206,PLACE DU PARLEMENT A BORDEAUX(33)
palais-gallien-a-bordeaux-71489,PALAIS GALLIEN A BORDEAUX(33)
cafe-des-jours-heureux-a-bordeaux-32956,CAFE DES JOURS HEUREUX A BORDEAUX(33)
eglise-saint-nicolas-a-bordeaux-50581,EGLISE SAINT NICOLAS A BORDEAUX(33)
la-benauge-a-bordeaux-17966,LA BENAUGE A BORDEAUX(33)
amadeus-song-a-bordeaux-27744,AMADEUS SONG A BORDEAUX(33)
musee-ethnographique-de-bordeaux-meb-45175,MUSEE ETHNOGRAPHIQUE DE BORDEAUX (MEB)(33)
fnac-de-bordeaux-9106,FNAC DE BORDEAUX(33)
le-garage-moderne-a-bordeaux-36296,LE GARAGE MODERNE A BORDEAUX(33)
dalle-du-pertuis-bassins-a-flot-de-bordeaux-53265,DALLE DU PERTUIS/ BASSINS A FLOT DE BORDEAUX(33)
eglise-saint-marie-de-la-bastide-a-bordeaux-22725,EGLISE SAINT MARIE DE LA BASTIDE A BORDEAUX(33)
marche-de-lerme-a-bordeaux-41860,MARCHE DE LERME A BORDEAUX(33)
place-des-capucins-a-bordeaux-65807,PLACE DES CAPUCINS A BORDEAUX(33)
bar-le-saint-michel-a-bordeaux-31563,BAR LE SAINT MICHEL A BORDEAUX(33)
agence-credit-mutuel-bordeaux-centre-48547,AGENCE CREDIT MUTUEL BORDEAUX CENTRE(33)
la-dame-de-shanghai--bassin-a-flot-a-bordeaux-14793,LA DAME DE SHANGHAI / BASSIN A FLOT A BORDEAUX(33)
marche-victor-hugo-a-bordeaux-37388,MARCHE VICTOR HUGO A BORDEAUX(33)
la-causerie-des-chartrons-a-bordeaux-56004,LA CAUSERIE DES CHARTRONS A BORDEAUX(33)
cour-mably-a-bordeaux-24753,COUR MABLY A BORDEAUX(33)
jardin-de-lhotel-de-ville-de-bordeaux-43337,JARDIN DE L'HOTEL DE VILLE DE BORDEAUX(33)
le-society-a-bordeaux-71927,LE SOCIETY A BORDEAUX(33)
el-chicho-a-bordeaux-33312,EL CHICHO A BORDEAUX(33)
dirty-club-a-bordeaux-50603,DIRTY CLUB A BORDEAUX(33)
parc-des-sports-saint-michel-a-bordeaux-40240,PARC DES SPORTS SAINT MICHEL A BORDEAUX(33)
