artist_id,artist_name,genre
lucky-pepper-168236,LUCKY PEPPER,Rock
queen-extravaganza-130816,QUEEN EXTRAVAGANZA,Rock
dominique-commet-167782,DOMINIQUE COMMET,Spectacle Musical
david-jarre-234197,DAVID JARRE,Spectacle/évènement
disney-sur-glace---la-magie-eternelle-176048,DISNEY SUR GLACE - LA MAGIE ETERNELLE,Spectacle pour enfants
archimede-43249,ARCHIMEDE,Scène Française
pierre-lapointe-26145,PIERRE LAPOINTE,Variété pop internationale
jozef-van-wissem-69931,JOZEF VAN WISSEM,World
lamomali-156231,LAMOMALI,World
twin-tribes-187893,TWIN TRIBES,Rock
yves-cusset-74529,YVES CUSSET,Humour
kompromat-175468,KOMPROMAT,Electro
malik-djoudi-158014,MALIK DJOUDI,Scène Française
kid-palace-136394,KID PALACE,Spectacle pour enfants
casse-noisette-lorchestre-philharmonique-national-de-moldavie-et-le-ballet-academique-de-naples-208629,CASSE NOISETTE (L'Orchestre Philharmonique National de Moldavie et le Ballet Académique de Naples),Classique
forever-the-best-show-about-the-king-of-pop-174830,FOREVER THE BEST SHOW ABOUT THE KING OF POP,Spectacle Musical
la-tournee-du-trio-14335,CH GARREAU,Jazz / Blues
nabucco-48397,NABUCCO,Classique
roi-perez-156933,ROI PEREZ,Dj
france-sauvage-53729,FRANCE SAUVAGE,Electro
sans-accent-206,PHILIPPE DE PREISSAC,Jazz / Blues
les-bodins---grandeur-nature-498,LES PIRES,World
spectacle-sans-gluten-12649,BALLAKE SISSOKO,World
valentina-diaz-frenot-73998,VALENTINA DIAZ FRENOT,Classique
iggy-pop-695,IGGY POP,Rock
leif-ove-andsnes-57225,LEIF OVE ANDSNES,Classique
la-tournee-anniversaire-cirque-arlette-gruss-235591,LA TOURNEE ANNIVERSAIRE (Cirque Arlette Gruss),Cirque
gospel-voices-26197,GOSPEL VOICES,Gospel
greg-empeche-moi-187957,GREG EMPECHE MOI,Humour
vanupie-38077,VANUPIE,Scène Française
pedro-winter-aka-busy-p-35599,PEDRO WINTER AKA BUSY P,Dj
florian-nardone-188825,FLORIAN NARDONE,Humour
death-valley-girls-154919,DEATH VALLEY GIRLS,Rock
ovo-cirque-du-soleil-166987,OVO (Cirque du soleil),Cirque
sebastian-mullaert-aka-minilogue-93975,SEBASTIAN MULLAERT (aka MINILOGUE),Dj
liv-del-estal-195243,LIV DEL ESTAL,Variété Française
pixy-225401,PIXY,K-Pop
bernard-werber---voyage-interieur-182444,BERNARD WERBER - VOYAGE INTÉRIEUR,Spectacle/évènement
yoa-189557,YOA,Scène Française
legowelt-79915,LEGOWELT,Dj
guille-placencia-174925,GUILLE PLACENCIA,Dj
thomas-fersen-727,THOMAS FERSEN,Variété Française
liz-van-deuq-47078,LIZ VAN DEUQ,Scène Française
kumisho-2-192305,KUMISHO 2,Spectacle Musical
i-giardini-178615,I GIARDINI,Classique
boca-45-151772,BOCA 45,Dj
left-corner-158905,LEFT CORNER,Reggae
harry-potter-et-la-coupe-de-feu-231759,HARRY POTTER ET LA COUPE DE FEU,Ciné-concert
troupe-carmanwati-de-sebatu-200441,TROUPE CARMANWATI DE SEBATU,Danse
les-clopes-189499,LES CLOPES,Scène Française
thomas-enhco-34083,THOMAS ENHCO,Jazz / Blues
christophe-mali-30420,CHRISTOPHE MALI,Scène Française
doxx-172026,DOXX,Hip-Hop/Rap/R'n'B
so-floyd---the-pink-floyd-tribute-tour-2024-187455,SO FLOYD - THE PINK FLOYD TRIBUTE TOUR 2024,Spectacle Musical
the-geek-x-vrv-133758,THE GEEK X VRV,Electro
la-maison-tellier-36083,LA MAISON TELLIER,Scène Française
lonj-28153,LONJ,Jazz / Blues
solann-225065,SOLANN,Scène Française
bun-hay-mean-se-prepare-12230,LES DIX COMMANDEMENTS,Variété Française
carlinhos-brown-4078,CARLINHOS BROWN,World
benjamin-damage-141102,BENJAMIN DAMAGE,Electro
rigo-162333,RIGO,Dj
non-je-nirai-pas-chez-le-psy-673,HOBO BLUES BAND,Jazz / Blues
hoshi-160604,HOSHI,Scène Française
les-violons-de-france-49390,LES VIOLONS DE FRANCE,Classique
marie-jeanne-wyckmans-176578,MARIE JEANNE WYCKMANS,Musique contemporaine
roberto-alagna-49098,ROBERTO ALAGNA,Classique
ardan-212443,ARDAN,Punk
ours-charles-souchon-41847,OURS (Charles Souchon),Scène Française
paloma-au-plurielles-213459,PALOMA AU PLURIELLES,Humour
dr-peacock-139015,DR PEACOCK,Electro
ascendant-vierge-179283,ASCENDANT VIERGE,Electro
courgettes-cie-paradoxe-230707,COURGETTES (Cie Paradoxe),Spectacle pour enfants
zaho-de-sagazan-190371,ZAHO DE SAGAZAN,Scène Française
joris-delacroix-105301,JORIS DELACROIX,Electro
la-belle-histoire-des-comedies-musicales-cie-trabucco-236601,LA BELLE HISTOIRE DES COMEDIES MUSICALES (Cie Trabucco),Spectacle Musical
odezenne-45260,ODEZENNE,Scène Française
abba-fever-54499,ABBA FEVER,Variété Française
chico-trujillo-71551,CHICO TRUJILLO,World
soren-243049,SOREN,Electro
emmanuel-moire-43376,EMMANUEL MOIRE,Variété Française
epilogue-11688,ALAIN SOURIGUES,Scène Française
bertrand-noel-143844,BERTRAND NOEL,Scène Française
reda-saoui-136580,REDA SAOUI,Humour
barbarossa-125743,BARBAROSSA,Variété pop internationale
rire-barbele-176268,RIRE BARBELE,Spectacle Musical
jaakuna-shimai-227673,JAAKUNA SHIMAI,Electro
calme-14383,NOD,Scène Française
didier-lasserre-30877,DIDIER LASSERRE,Jazz / Blues
lise-dellac-125103,LISE DELLAC,Scène Française
louise-weber-156585,LOUISE WEBER,Jazz / Blues
the-world-of-hans-zimmer---a-new-dimension-13817,HORS HUMAIN,Scène Française
gael-pilote-de-lillusion-228747,GAEL PILOTE DE L'ILLUSION,Spectacle/évènement
david-buhatois-12106,DAVID BUHATOIS,Scène Française
the-inspector-cluzo-tic-58728,THE INSPECTOR CLUZO (TIC),Scène Française
melenas-23119,MELENAS,Scène Française
pixies-28301,PIXIES,Rock
guillaume-perret-127763,GUILLAUME PERRET,Jazz / Blues
arcadi-volodos-49132,ARCADI VOLODOS,Classique
enfin--12504,FRANCOIS COUTURIER,Jazz / Blues
mnozil-brass-24892,MNOZIL BRASS,Spectacle Musical
kaelan-mikla-klan-mikla-157360,KAELAN MIKLA (Kælan Mikla),Electro
quelquun-de-bien-13529,CANDYFLOSS,Scène Française
celimene-daudet-86834,CELIMENE DAUDET,Classique
