event_type,city,venue_id,start_date,artist_id,artist_name
Concert,Bordeaux,theatre-femina-1324,2024-12-01T18:00:00,les-cles-de-votre-energie-natacha-calestreme-14513,LES CLES DE VOTRE ENERGIE (NATACHA CALESTREME)
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-02T20:00:00,renaud-capucon-53182,RENAUD CAPUCON
Concert,Bordeaux,theatre-trianon-ex-centre-jean-vigo-a-bordeaux-22190,2024-12-02T20:30:00,sandrine-sarroche-63229,SANDRINE SARROCHE
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-03T20:00:00,the-very-best-of-john-williams-180165,THE VERY BEST OF JOHN WILLIAMS
Concert,Bordeaux,theatre-moliere---scene-daquitaine-2936,2024-12-03T20:00:00,massacre-a-la-princesse-interdit-aux-enfants-217359,MASSACRE A LA PRINCESSE INTERDIT AUX ENFANTS
Concert,Pessac,le-galet-a-pessac-18475,2024-12-03T20:00:00,eric-emmanuel-schmitt-167807,ERIC EMMANUEL SCHMITT
Concert,Bordeaux,iboat-a-bordeaux-39764,2024-12-04T19:30:00,la-jungle-178795,LA JUNGLE
Concert,Bordeaux,theatre-femina-1324,2024-12-04T20:30:00,ca-valait-le-coup--13849,CA VALAIT LE COUP !
Concert,Le Haillan,lentrepot-du-haillan-11910,2024-12-04T20:30:00,ondes-237087,ONDES
Concert,Bordeaux,la-grande-poste-a-bordeaux-55819,2024-12-04T20:30:00,la-grande-poste-comedy-club-243789,LA GRANDE POSTE COMEDY CLUB
Concert,Cenon,le-rocher-de-palmer-a-cenon-34504,2024-12-05T00:00:00,emily-loizeau-27512,EMILY LOIZEAU
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-05T20:00:00,werenoi-207193,WERENOI
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-05T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-05T20:00:00,sheku-kanneh-mason-176862,SHEKU KANNEH-MASON
Concert,Bordeaux,theatre-femina-1324,2024-12-05T20:30:00,ca-valait-le-coup--13849,CA VALAIT LE COUP !
Concert,Bordeaux,rock-school-barbey-3069,2024-12-05T20:30:00,sam-quealy-191427,SAM QUEALY
Concert,Bordeaux,galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,2024-12-05T20:30:00,pierre-arditi-177824,PIERRE ARDITI
Concert,Arcachon,theatre-olympia-darcachon-7976,2024-12-05T21:00:00,generation-django-212129,GENERATION DJANGO
Concert,Bordeaux,deus-ex-machina-75099,2024-12-06T00:00:00,we-hate-you-please-die-170942,WE HATE YOU PLEASE DIE
Concert,Lanton,le-baryton-a-lanton-29825,2024-12-06T00:00:00,fu-20501,FU
Concert,Talence,linconnue-a-talence-73805,2024-12-06T19:30:00,menni-jab-221511,MENNI JAB
Concert,Cenon,le-rocher-de-palmer-a-cenon-34504,2024-12-06T19:30:00,la-petite-vendeuse-de-soleil-209263,LA PETITE VENDEUSE DE SOLEIL
Concert,Bordeaux,iboat-a-bordeaux-39764,2024-12-06T19:30:00,headcharger-32391,HEADCHARGER
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-06T20:00:00,disney-en-concert-180634,DISNEY EN CONCERT
Concert,Cenon,le-rocher-de-palmer-a-cenon-34504,2024-12-06T20:00:00,houdi-208233,HOUDI
Concert,Saint Denis de Pile,laccordeur-41207,2024-12-06T20:00:00,ladies-ballbreaker-142273,LADIES BALLBREAKER
Concert,Lanton,le-baryton-a-lanton-29825,2024-12-07T00:00:00,jazzymute-91452,JAZZYMUTE
Concert,Pessac,mediatheque-jacques-ellul-a-pessac-18538,2024-12-07T11:30:00,eddie-dhaini-122418,EDDIE DHAINI
Concert,Bordeaux,cinema-cgr-bordeaux-le-francais-74207,2024-12-07T16:00:00,lecran-pop---la-reine-des-neiges-230263,L'ECRAN POP - LA REINE DES NEIGES
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-07T20:30:00,the-world-of-queen-12569,THE WORLD OF QUEEN
Concert,Bordeaux,theatre-femina-1324,2024-12-07T20:30:00,la-formidable-ascension-sociale-temporaire-de-g-verstraeten-14459,LA FORMIDABLE ASCENSION SOCIALE TEMPORAIRE DE G. VERSTRAETEN
Concert,Bordeaux,salle-des-fetes-du-grand-parc-a-bordeaux-27751,2024-12-07T20:30:00,imparfaits-13153,IMPARFAITS
Concert,Bordeaux,rock-school-barbey-3069,2024-12-07T20:30:00,johnny-mafia-131423,JOHNNY MAFIA
Concert,Bordeaux,theatre-casino-barriere-a-bordeaux-18073,2024-12-07T20:30:00,lexpert-humoriste-amine-radi-14033,L'EXPERT HUMORISTE (Amine Radi)
Concert,Bordeaux,theatre-inox-ex---theatre-onyx-a-bordeaux-20279,2024-12-07T20:30:00,abel-cheret-136807,ABEL CHERET
Concert,Bordeaux,galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,2024-12-07T20:30:00,pierre-arditi-177824,PIERRE ARDITI
Concert,Arcachon,theatre-olympia-darcachon-7976,2024-12-07T21:00:00,nirek-mokar-218109,NIREK MOKAR & HIS BOOGIE MESSENGERS
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-08T18:00:00,patrick-fiori-25357,PATRICK FIORI
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-09T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-09T20:00:00,ensemble-pygmalion-54320,ENSEMBLE PYGMALION
Concert,Arcachon,theatre-olympia-darcachon-7976,2024-12-10T20:30:00,yabin-dance-company-237713,YABIN DANCE COMPANY
Concert,Bordeaux,galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,2024-12-10T20:30:00,pierre-arditi-177824,PIERRE ARDITI
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-11T20:00:00,patrick-bruel-11633,PATRICK BRUEL
Concert,Bordeaux,theatre-moliere---scene-daquitaine-2936,2024-12-11T20:00:00,massacre-a-la-princesse-interdit-aux-enfants-217359,MASSACRE A LA PRINCESSE INTERDIT AUX ENFANTS
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-11T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Bordeaux,rock-school-barbey-3069,2024-12-11T20:30:00,king-hannah-190845,KING HANNAH
Concert,Cenon,le-rocher-de-palmer-a-cenon-34504,2024-12-11T20:30:00,thahomey-175921,THAHOMEY
Concert,Bordeaux,galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,2024-12-11T20:30:00,pierre-arditi-177824,PIERRE ARDITI
Concert,Bordeaux,iboat-a-bordeaux-39764,2024-12-12T19:30:00,uto-159097,UTO
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-12T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-12T20:30:00,vedette-20-alban-ivanov-12065,VEDETTE 2.0 (Alban Ivanov)
Concert,Cenon,le-rocher-de-palmer-a-cenon-34504,2024-12-13T00:00:00,pepite-155048,PEPITE
Concert,Lanton,le-baryton-a-lanton-29825,2024-12-13T00:00:00,th3-nobodies-207069,TH3 NOBODIES
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-13T20:00:00,menelik-196,MENELIK
Concert,Cenon,le-rocher-de-palmer-a-cenon-34504,2024-12-13T20:00:00,yodelice-59153,YODELICE
Concert,Bordeaux,theatre-moliere---scene-daquitaine-2936,2024-12-13T20:00:00,massacre-a-la-princesse-interdit-aux-enfants-217359,MASSACRE A LA PRINCESSE INTERDIT AUX ENFANTS
Concert,Bordeaux,theatre-femina-1324,2024-12-13T20:30:00,solo-marc-antoine-le-bret-13633,SOLO (Marc Antoine Le Bret)
Concert,Le Haillan,lentrepot-du-haillan-11910,2024-12-13T20:30:00,reconditionnee-13347,RECONDITIONNEE
Concert,Cenon,le-rocher-de-palmer-a-cenon-34504,2024-12-13T20:30:00,laake-144717,LAAKE
Concert,Lanton,le-baryton-a-lanton-29825,2024-12-14T00:00:00,claire-baudouin-243439,CLAIRE BAUDOUIN
Concert,Bordeaux,limpromptu-a-bordeaux-68893,2024-12-14T19:00:00,pascal-pistone-67699,PASCAL PISTONE
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-14T20:00:00,la-dame-de-pierre-215243,LA DAME DE PIERRE
Concert,Saint Denis de Pile,laccordeur-41207,2024-12-14T20:00:00,menni-jab-221511,MENNI JAB
Concert,Bordeaux,theatre-femina-1324,2024-12-14T20:30:00,madame-arthur-ensorcelle-disney-14229,MADAME ARTHUR ENSORCELLE DISNEY
Concert,Bordeaux,limpromptu-a-bordeaux-68893,2024-12-14T20:30:00,pascal-pistone-67699,PASCAL PISTONE
Concert,Bordeaux,rock-school-barbey-3069,2024-12-14T20:30:00,kuroy-lenid-243753,KUROY LENID
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-15T15:30:00,la-dame-de-pierre-215243,LA DAME DE PIERRE
Concert,Bordeaux,theatre-femina-1324,2024-12-15T16:00:00,casse-noisette-ballet-national-ukrainien-dodessa-220201,CASSE NOISETTE (Ballet National Ukrainien d'Odessa)
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-16T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-17T20:00:00,culot-12771,CULOT
Concert,Bordeaux,iboat-a-bordeaux-39764,2024-12-18T00:00:00,marguerite-thiam-204041,MARGUERITE THIAM
